Date,Adj_Close,Close,High,Low,Open,Volume
2025-09-15,25069.2,25069.2,25138.45,25048.75,25118.9,185400.0
2025-09-16,25239.1,25239.1,25261.4,25070.45,25073.6,240100.0
2025-09-17,25330.25,25330.25,25346.5,25275.35,25276.6,268900.0
2025-09-18,25423.6,25423.6,25448.95,25329.75,25441.05,272200.0
2025-09-19,25327.05,25327.05,25428.75,25286.3,25410.2,380400.0
2025-09-22,25202.35,25202.35,25331.7,25151.05,25238.1,254500.0
2025-09-23,25169.5,25169.5,25261.9,25084.65,25209.0,299200.0
2025-09-24,25056.9,25056.9,25149.85,25027.45,25108.75,244400.0
2025-09-25,24890.85,24890.85,25092.7,24878.3,25034.5,342500.0
2025-09-26,24654.7,24654.7,24868.6,24629.45,24818.55,291500.0
2025-09-29,24634.9,24634.9,24791.3,24606.2,24728.55,394400.0
2025-09-30,24611.1,24611.1,24731.8,24587.7,24691.95,303000.0
2025-10-01,24836.3,24836.3,24867.95,24605.95,24620.55,308900.0
2025-10-03,24894.25,24894.25,24904.8,24747.55,24759.55,365900.0
2025-10-06,25077.65,25077.65,25095.95,24881.65,24916.55,268800.0
2025-10-07,25108.3,25108.3,25220.9,25076.3,25085.3,288000.0
2025-10-08,25046.15,25046.15,25192.5,25008.5,25079.75,227400.0
2025-10-09,25181.8,25181.8,25199.25,25024.3,25074.3,286300.0
2025-10-10,25285.35,25285.35,25330.75,25156.85,25167.65,232900.0
2025-10-13,25227.35,25227.35,25267.3,25152.3,25177.3,234300.0
2025-10-14,25145.5,25145.5,25310.35,25060.55,25277.55,292100.0
2025-10-15,25323.55,25323.55,25365.15,25159.35,25181.95,289900.0
2025-10-16,25585.3,25585.3,25625.4,25376.85,25394.9,372800.0
2025-10-17,25709.85,25709.85,25781.5,25508.6,25546.85,422100.0
2025-10-20,25843.15,25843.15,25926.2,25788.5,25824.6,301100.0
2025-10-21,25868.6,25868.6,25934.35,25825.8,25901.2,42500.0
2025-10-23,25891.4,25891.4,26104.2,25862.45,26057.2,448400.0
2025-10-24,25795.15,25795.15,25944.15,25718.2,25935.1,284900.0
2025-10-27,25966.05,25966.05,26005.95,25827.0,25843.2,266300.0
2025-10-28,25936.2,25936.2,26041.7,25810.05,25939.95,395200.0
2025-10-29,26053.9,26053.9,26097.85,25960.3,25982.0,321900.0
2025-10-30,25877.85,25877.85,26032.05,25845.25,25984.4,257400.0
2025-10-31,25722.1,25722.1,25953.75,25711.2,25863.8,334400.0
2025-11-03,25763.35,25763.35,25803.1,25645.5,25696.85,23300.0
2025-11-04,25597.65,25597.65,25787.4,25578.4,25744.75,305100.0
2025-11-06,25509.7,25509.7,25679.15,25491.55,25593.35,371900.0
2025-11-07,25492.3,25492.3,25551.25,25318.45,25433.8,305600.0
2025-11-10,25574.35,25574.35,25653.45,25503.5,25503.5,243600.0
2025-11-11,25694.95,25694.95,25715.8,25449.25,25617.0,297700.0
